G_ID,GRAV_LON,GRAV_LAT,GRAV_ANOM,NEAR_DIST,NEAR_CONTR,CONTR_LON,CONTR_LAT,CONTR_X,CONTR_Y,CONTR_OTHO.H,CONTR_ELLIP.h,CONTR_GEOID_N
194,3.433333333,6.466666667,22.99,0.014584855,XST121,3.440859348,6.460263853,548747.642,714104.6734,1.971,24.46,22.488
195,3.466666667,6.466666667,22.19,0.013145183,XST237,3.476148407,6.458381354,552649.9787,713900.0807,3.372,25.836,22.464
196,3.5,6.466666667,18.99,0.026530952,XST237,3.476148407,6.458381354,552649.9787,713900.0807,3.372,25.836,22.464
197,3.533333333,6.466666667,15.05,0.013417189,XST126,3.528768937,6.456639407,558468.8332,713713.2504,2.264,24.699,22.434
198,3.566666667,6.466666667,12.77,0.005028724,XST136,3.56529207,6.468232669,562506.0942,714999.2146,7.76,30.251,22.491
199,3.6,6.466666667,13.16,0.004381057,XST145,3.603406365,6.467244945,566720.7874,714894.8639,6.531,29.022,22.491
200,3.633333333,6.466666667,15.15,0.018586408,XST146,3.648583229,6.4696563,571716.016,715167.5897,6.513,28.982,22.469
201,3.666666667,6.466666667,16.95,0.021419528,XST146,3.648583229,6.4696563,571716.016,715167.5897,6.513,28.982,22.469
202,3.7,6.466666667,17.92,0.007672848,XST157,3.693017536,6.473180849,576628.9622,715563.718,6.365,28.848,22.483
203,3.733333333,6.466666667,18.88,0.013308717,XST163,3.731484232,6.483225695,580880.9576,716680.1676,6.777,29.298,22.521
204,3.766666667,6.466666667,20.9,0.009708685,XST169,3.773632884,6.479003373,585542.3589,716220.2852,5.327,27.819,22.492
205,3.8,6.466666667,23.86,0.017330683,XST180A,3.816975637,6.47349003,590336.1569,715618.2639,3.862,26.311,22.449
206,3.833333333,6.466666667,26.74,0.013483854,XST180A,3.816975637,6.47349003,590336.1569,715618.2639,3.862,26.311,22.449
207,3.866666667,6.466666667,28.89,0.016433399,XST183,3.863663151,6.485162485,595496.754,716917.2672,3.964,26.455,22.491
208,3.9,6.466666667,30.63,0.017086856,XST190,3.901221856,6.487043114,599649.6456,717132.4104,1.778,24.26,22.483
209,3.933333333,6.466666667,32.57,0.033446215,XST190,3.901221856,6.487043114,599649.6456,717132.4104,1.778,24.26,22.483
210,3.966666667,6.466666667,34.53,0.041070484,XST204,3.988969653,6.433572854,609364.4556,711238.8093,4.906,27.127,22.221
211,4,6.466666667,35.53,0.038060551,XST204,3.988969653,6.433572854,609364.4556,711238.8093,4.906,27.127,22.221
212,4.033333333,6.466666667,34.88,0.034927063,XST192A,4.050709086,6.441874682,616190.7054,712170.298,1.666,23.931,22.265
213,4.066666667,6.466666667,33,0.031968791,XST222,4.07958004,6.500499614,619369.9457,718658.7304,4.433,26.965,22.533
214,4.1,6.466666667,31.05,0.036704239,XST222,4.07958004,6.500499614,619369.9457,718658.7304,4.433,26.965,22.533
215,4.133333333,6.466666667,29.85,0.058726327,XST225,4.123548278,6.411629144,624253.8133,708843.3567,5.133,27.273,22.14
216,4.166666667,6.466666667,29.35,0.0707269,XST227,4.168038344,6.399300309,629177.751,707491.1922,4.229,26.334,22.105
